"plate","make","load_capacity","tracker_id"
"у942ув","SHACMAN SX5318GJBDT326","15","860157041814416"
"у104тх","HOWO ZZ5407GJBS3267E","14.5","862531045990638"
"у196тх","HOWO","14","862531045914737"
"у354ер","SHACMAN","14","862531045881571"
"о058ур","Шакман","11","862531045913754"
"у953ув","SHACMAN SX5318GJBDT326","15","860157041800878"
"у675тс","МАЗ","10","862531045777902"
"х007нк","SHACMAN SX5318GJBDT3","14","4003994554"
"у446нр","МАЗ TIGARBO АБС-9ДА ","14","4003991519"
"у956ув","SHACMAN SX5318GJBDT326","15","860157041791820"
"у955нт","ШАНКСИ","12","866201059593399"
"о200хн","Шанкси","10.5","4003970547"
"х952ва","ХИНО","6","4003930129"
"о267тн","","10.5","4005622328"
"с308ух","Хино","5","1020333708"
"т230нк","ХОВО","10","5035506457"
"т307мс","ШАНКСИ","10.5","862531045845329"
"р915ко","Шанкси","11","4005627087"
"р391рс","","11","4005627004"
"р821ск","Мерседес","6","4005648570"
"у993ме","Хово","8","4003967824"
"у629ох","SHACMAN SX5258GJBDR3","12","862531045881605"
"т247рн","SHACMAN SX5318GJBDT3","15","866201059553211"
"т930рх","МАН","11","3033549689"
"у411ук","Хово","13","866201059553278"
"у955ув","SHACMAN SX5318GJBDT326","14.5","860157041806651"
"у100ук","SHACMAN SX5318GJBDT3","15","3039028167"
"о841те",NULL,"10","4003920716"
"т763тр","МАН","11","3039097816"
"у187ук","ХОВО","8","3039097816"
"к412вк","МАЗ","5","4005626469"
"у858ен","МАН","12.5","4003994299"
"а129ах","SHACMAN","13.5","868184062288595"
"р402ке","Шанкси","11","4005622153"
"с372се","Насос","0","4003978276"
"а323ав","SHACMAN","14","868184062136174"
"р916ко","Шанкси","11","4005631444"
"о142еа","IVECO","9","4003985644"
"р654мв","МАЗ","5","4003949970"
"р787не","ISUZU",NULL,"1027955263"
"т231нк","ДонФенг","10","4005680466"
"720а","ХИНО",NULL,"4003983003"
"у554рр","МАЗ","11","862531045916161"
"Р004РЕ","Камаз","8","866201059602133"
"у950ув","SHACMAN SX5318GJBDT326","15","860157041843613"
"у331ну",NULL,"11","4005627087"
"х017рс","","11","4005648356"
"о282ре","КАМАЗ","9","860157041814325"
"о378рк","","11","4003898888"
"о496еа","КАМАЗ","9","4003913901"
"х121нк","SHACMAN SX5318GJBDT3","15","4003998696"
"о787се","Камаз","7","5035503959"
"х135нк","SHACMAN SX5318GJBDT3","14","862531045957355"
"о382оу","Мерседес","8","866201059622933"
"х379нт","SHACMAN","15","860157041822658"
"х392са","SHACMAN","14","868184062507242"
"х428ра","SHACMAN","14.5","860157041823474"
"х680ек","SHACMAN","15","860157041713055"
"у947ув","SHACMAN SX5318GJBDT326","14","860157041823441"
"х603рв","SHACMAN","14","868184062548832"
"о345оо","SHACMAN","14","868184062549756"
"х438оу","Шакман","13","868184062582005"
"т915кт","Шанкси","14","862531045916138"
"а429ае","SHACMAN","14","868184062182517"
"а085ан","Шакман","13.5","868184062559888"
"а514ан","Шакман","14","866201059544210"
